Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
6,"(481.0,525.0)",0,6,2.094,187.167,182,188,182,191
1,"(836.0,656.0)",0,1,12.566,181.000,181,181,181,181
4,"(70.0,132.0)",0,4,3.142,109.750,110,109,109,110
65,"(1171.0,1145.0)",0,64,0.199,19.985,11,37,4,110
1,"(444.0,515.0)",0,1,12.566,109.000,109,109,109,109
7,"(1128.0,920.0)",0,7,1.795,183.714,182,185,181,188
1,"(1559.0,420.0)",0,1,12.566,181.000,181,181,181,181
1,"(376.0,51.0)",0,1,12.566,181.000,181,181,181,181
7,"(1455.0,376.0)",0,7,1.795,185.286,183,185,182,192
17,"(33.0,432.0)",0,16,0.834,188.941,181,191,181,202
19,"(1471.0,811.0)",0,18,0.737,188.421,183,186,181,204
1,"(1563.0,450.0)",0,1,12.566,183.000,183,183,183,183
4,"(788.0,603.0)",0,4,3.142,182.500,181,183,181,184
2681,"(898.0,875.0)",0,246,0.557,40.894,21,22,12,110
5,"(1054.0,27.0)",0,5,2.513,186.800,187,187,183,189
3,"(1451.0,447.0)",0,3,4.189,106.000,103,103,103,108
3,"(167.0,261.0)",0,3,4.189,182.333,181,184,181,184
1,"(1421.0,857.0)",0,1,12.566,181.000,181,181,181,181
30,"(1439.0,331.0)",0,25,0.603,192.667,189,197,181,207
17,"(1414.0,277.0)",0,17,0.739,187.294,184,188,183,193
6,"(171.0,217.0)",0,6,2.094,184.167,181,183,181,187
10,"(29.0,446.0)",0,10,1.257,184.800,181,188,181,189
2,"(1412.0,267.0)",0,2,6.283,181.000,181,181,181,181
5,"(1215.0,773.0)",0,5,2.513,182.200,181,183,181,185
3051,"(1035.0,57.0)",0,292,0.450,67.766,46,87,25,110
93,"(1150.0,1142.0)",0,52,0.432,33.269,7,100,4,108
1,"(202.0,212.0)",0,1,12.566,181.000,181,181,181,181
12,"(1442.0,861.0)",0,12,1.047,184.750,181,189,181,191
1,"(744.0,273.0)",0,1,12.566,181.000,181,181,181,181
1,"(1159.0,925.0)",0,1,12.566,185.000,185,185,185,185
7,"(822.0,633.0)",0,0,Infinity,103.429,106,106,95,109
952,"(1167.0,1110.0)",0,952,0.013,7.597,8,7,5,20
1,"(360.0,792.0)",0,1,12.566,109.000,109,109,109,109
1,"(105.0,498.0)",0,1,12.566,181.000,181,181,181,181
33,"(77.0,501.0)",0,33,0.381,185.636,182,183,181,192
7,"(8.0,128.0)",0,7,1.795,181.857,181,183,181,184
2,"(249.0,1142.0)",0,2,6.283,186.500,183,186,183,190
2875,"(845.0,325.0)",0,238,0.638,68.283,56,50,47,110
1,"(1226.0,772.0)",0,1,12.566,181.000,181,181,181,181
628,"(129.0,1192.0)",1,96,0.856,47.747,20,21,18,209
2800,"(776.0,289.0)",0,258,0.529,47.072,28,31,21,110
1,"(1554.0,416.0)",0,1,12.566,183.000,183,183,183,183
5,"(1014.0,31.0)",0,5,2.513,186.400,185,183,183,193
5,"(737.0,282.0)",0,5,2.513,184.600,181,188,181,188
1,"(1407.0,283.0)",0,1,12.566,182.000,182,182,182,182
3,"(1553.0,462.0)",0,3,4.189,184.000,181,185,181,186
3031,"(722.0,634.0)",0,246,0.629,56.532,41,45,32,110
1,"(1565.0,431.0)",0,1,12.566,181.000,181,181,181,181
46,"(1193.0,829.0)",0,44,0.299,97.239,101,95,74,110
1,"(925.0,233.0)",0,1,12.566,184.000,184,184,184,184
5,"(63.0,542.0)",0,5,2.513,181.800,181,182,181,183
41,"(551.0,644.0)",0,40,0.322,93.195,89,94,75,110
1,"(1551.0,414.0)",0,1,12.566,188.000,188,188,188,188
4,"(1103.0,180.0)",0,4,3.142,184.250,182,184,182,187
18,"(63.0,535.0)",0,14,1.154,190.000,194,195,181,203
7,"(158.0,655.0)",0,7,1.795,99.429,103,103,87,109
2,"(1046.0,797.0)",0,2,6.283,181.500,181,181,181,182
7,"(75.0,555.0)",0,7,1.795,183.571,181,186,181,188
7,"(161.0,237.0)",0,7,1.795,183.714,181,187,181,187
6,"(132.0,512.0)",0,6,2.094,104.667,103,103,101,109
1,"(173.0,272.0)",0,1,12.566,182.000,182,182,182,182
4144,"(237.0,1148.0)",0,448,0.259,65.225,63,59,27,213
5,"(825.0,613.0)",0,0,Infinity,109.800,110,110,109,110
2306,"(1146.0,893.0)",0,272,0.392,72.608,72,57,30,110
2725,"(40.0,133.0)",0,263,0.495,51.942,32,32,18,110
1,"(1042.0,783.0)",0,1,12.566,182.000,182,182,182,182
1,"(1125.0,867.0)",0,1,12.566,188.000,188,188,188,188
14,"(179.0,212.0)",0,14,0.898,185.071,181,182,181,195
1,"(688.0,639.0)",0,1,12.566,181.000,181,181,181,181
4,"(153.0,668.0)",0,4,3.142,106.750,107,107,105,108
4,"(1351.0,258.0)",0,4,3.142,186.500,184,188,184,190
1,"(1439.0,1134.0)",0,1,12.566,106.000,106,106,106,106
5,"(1162.0,199.0)",0,5,2.513,182.200,181,185,181,185
3,"(1066.0,37.0)",0,3,4.189,184.333,182,186,182,186
1,"(1044.0,791.0)",0,1,12.566,181.000,181,181,181,181
17,"(1120.0,910.0)",0,15,0.949,189.059,184,189,181,199
5,"(1210.0,303.0)",0,5,2.513,104.600,99,105,99,110
7,"(866.0,880.0)",0,7,1.795,183.857,181,183,181,189
2240,"(470.0,502.0)",0,257,0.426,59.490,38,35,17,110
1,"(1395.0,240.0)",0,1,12.566,182.000,182,182,182,182
2641,"(94.0,528.0)",0,241,0.571,65.103,33,40,18,110
35,"(99.0,360.0)",0,33,0.404,189.971,184,196,181,210
1,"(736.0,815.0)",0,1,12.566,110.000,110,110,110,110
12,"(1171.0,877.0)",0,12,1.047,184.583,181,185,181,189
15,"(1062.0,80.0)",0,14,0.962,187.867,184,193,183,194
1,"(688.0,635.0)",0,1,12.566,182.000,182,182,182,182
7,"(158.0,689.0)",0,7,1.795,182.714,182,182,181,184
1,"(1515.0,416.0)",0,1,12.566,182.000,182,182,182,182
10,"(1474.0,823.0)",0,10,1.257,186.900,183,190,181,194
10,"(161.0,242.0)",0,10,1.257,182.400,181,181,181,185
7,"(1439.0,791.0)",0,7,1.795,182.143,181,181,181,185
8,"(174.0,705.0)",0,8,1.571,185.625,182,188,181,194
11,"(814.0,626.0)",0,0,Infinity,104.545,107,95,95,109
1,"(892.0,904.0)",0,1,12.566,181.000,181,181,181,181
101,"(1188.0,1143.0)",0,100,0.127,21.792,12,97,4,108
1,"(1459.0,343.0)",0,1,12.566,181.000,181,181,181,181
1,"(911.0,850.0)",0,1,12.566,183.000,183,183,183,183
1,"(1160.0,186.0)",0,1,12.566,182.000,182,182,182,182
19,"(1427.0,858.0)",0,19,0.661,185.895,184,187,181,191
2,"(9.0,110.0)",0,2,6.283,181.500,181,181,181,182
31,"(1531.0,584.0)",0,26,0.576,96.774,95,76,76,110
3,"(784.0,608.0)",0,3,4.189,182.000,182,182,182,182
11,"(22.0,102.0)",0,11,1.142,184.273,186,184,181,189
1,"(209.0,1161.0)",0,1,12.566,182.000,182,182,182,182
1,"(952.0,224.0)",0,1,12.566,182.000,182,182,182,182
5,"(1002.0,70.0)",0,5,2.513,184.200,181,181,181,187
21,"(1457.0,796.0)",0,21,0.598,190.762,190,192,182,200
2,"(61.0,479.0)",0,2,6.283,183.500,183,183,183,184
11,"(1412.0,844.0)",0,11,1.142,186.545,183,189,182,192
7,"(1449.0,298.0)",0,7,1.795,184.000,183,187,181,187
2,"(815.0,621.0)",0,0,Infinity,108.500,107,108,107,110
1,"(187.0,641.0)",0,1,12.566,110.000,110,110,110,110
3132,"(414.0,816.0)",0,291,0.465,51.044,41,57,13,110
1,"(888.0,902.0)",0,1,12.566,184.000,184,184,184,184
2,"(1430.0,794.0)",0,2,6.283,183.000,182,183,182,184
2,"(200.0,1110.0)",0,2,6.283,188.500,184,188,184,193
13,"(1021.0,825.0)",0,13,0.967,101.615,100,95,91,110
3,"(76.0,406.0)",0,3,4.189,184.333,182,185,182,186
2,"(1392.0,239.0)",0,2,6.283,182.500,181,182,181,184
2,"(91.0,496.0)",0,2,6.283,182.000,181,182,181,183
2,"(751.0,304.0)",0,2,6.283,184.000,181,184,181,187
5,"(1330.0,43.0)",0,5,2.513,99.200,91,103,91,109
1,"(832.0,294.0)",0,1,12.566,181.000,181,181,181,181
10,"(910.0,847.0)",0,10,1.257,185.800,182,185,181,190
3,"(18.0,154.0)",0,3,4.189,183.000,181,186,181,186
1,"(813.0,336.0)",0,1,12.566,181.000,181,181,181,181
1,"(893.0,842.0)",0,1,12.566,181.000,181,181,181,181
5,"(13.0,107.0)",0,5,2.513,182.000,181,182,181,184
2820,"(187.0,673.0)",0,333,0.320,73.687,73,94,21,110
2,"(386.0,798.0)",0,2,6.283,182.500,182,182,182,183
26,"(201.0,1144.0)",0,22,0.675,188.154,181,190,181,201
2,"(1432.0,861.0)",0,2,6.283,182.500,182,182,182,183
3022,"(1067.0,114.0)",0,304,0.411,65.299,61,98,19,110
14,"(736.0,835.0)",0,13,1.041,77.214,65,75,55,107
1,"(1471.0,849.0)",0,1,12.566,184.000,184,184,184,184
11,"(21.0,159.0)",0,11,1.142,184.545,182,182,181,193
36,"(62.0,412.0)",0,35,0.369,186.083,184,187,181,191
5,"(68.0,549.0)",0,5,2.513,182.200,181,181,181,184
5,"(865.0,869.0)",0,5,2.513,183.000,181,184,181,185
14,"(1406.0,1150.0)",0,12,1.222,84.571,108,69,56,108
16,"(329.0,771.0)",0,16,0.785,104.562,104,102,99,110
4,"(465.0,474.0)",0,4,3.142,184.750,182,187,182,188
9,"(44.0,97.0)",0,9,1.396,183.444,181,182,181,187
2804,"(1440.0,826.0)",0,313,0.360,72.198,68,65,23,185
1627,"(726.0,792.0)",0,225,0.404,92.669,106,80,59,110
2,"(1463.0,357.0)",0,2,6.283,184.000,184,184,184,184
11,"(161.0,228.0)",0,11,1.142,183.182,183,181,181,186
10,"(1145.0,926.0)",0,10,1.257,184.700,187,184,181,188
6,"(46.0,418.0)",0,6,2.094,182.000,182,182,181,183
3,"(1151.0,898.0)",0,0,Infinity,186.333,188,183,183,188
24,"(76.0,375.0)",0,24,0.524,185.708,182,183,181,195
6,"(1155.0,177.0)",0,6,2.094,183.167,181,183,181,185
1,"(1541.0,465.0)",0,1,12.566,181.000,181,181,181,181
1,"(90.0,419.0)",0,1,12.566,183.000,183,183,183,183
2,"(159.0,648.0)",0,2,6.283,183.000,182,183,182,184
13,"(787.0,638.0)",0,13,0.967,184.462,182,187,181,189
1,"(205.0,214.0)",0,1,12.566,183.000,183,183,183,183
1,"(933.0,274.0)",0,1,12.566,181.000,181,181,181,181
3,"(1411.0,1125.0)",0,3,4.189,104.333,101,101,101,109
9,"(1448.0,313.0)",0,9,1.396,186.444,182,185,182,193
15,"(194.0,1116.0)",0,15,0.838,183.867,181,185,181,188
30,"(382.0,50.0)",0,22,0.779,66.833,34,80,32,106
1,"(783.0,611.0)",0,1,12.566,181.000,181,181,181,181
16,"(1080.0,1188.0)",0,14,1.026,95.000,109,89,75,110
94,"(1138.0,1143.0)",0,52,0.437,33.819,5,59,3,110
4,"(365.0,789.0)",0,4,3.142,107.000,104,106,104,110
1,"(824.0,592.0)",0,1,12.566,185.000,185,185,185,185
3,"(786.0,606.0)",0,3,4.189,186.667,184,189,184,189
1,"(704.0,789.0)",0,1,12.566,110.000,110,110,110,110
4,"(928.0,871.0)",0,4,3.142,182.250,181,183,181,185
2,"(951.0,222.0)",0,2,6.283,181.500,181,181,181,182
7,"(166.0,221.0)",0,7,1.795,185.143,184,184,184,191
2308,"(1535.0,436.0)",0,249,0.468,47.523,32,45,22,196
8,"(780.0,618.0)",0,8,1.571,183.250,183,183,181,185
6,"(192.0,1124.0)",0,6,2.094,182.833,182,182,181,185
3074,"(1075.0,778.0)",0,246,0.638,80.409,74,78,59,110
8,"(39.0,424.0)",0,8,1.571,183.750,182,183,181,190
3,"(190.0,641.0)",0,3,4.189,109.333,110,110,108,110
20,"(1037.0,97.0)",0,19,0.696,184.600,184,186,181,190
1,"(792.0,602.0)",0,1,12.566,181.000,181,181,181,181
6,"(810.0,615.0)",0,0,Infinity,107.500,107,106,106,110
10,"(872.0,855.0)",0,10,1.257,183.300,181,183,181,189
3,"(1178.0,887.0)",0,3,4.189,184.000,182,187,182,187
3,"(175.0,639.0)",0,3,4.189,185.667,183,189,183,189
10,"(379.0,812.0)",0,10,1.257,185.500,185,185,181,191
4,"(1438.0,281.0)",0,4,3.142,190.500,182,193,182,196
2486,"(1133.0,193.0)",0,236,0.561,60.521,50,80,23,110
2,"(169.0,267.0)",0,2,6.283,181.500,181,181,181,182
2,"(385.0,795.0)",0,2,6.283,182.500,181,182,181,184
1,"(171.0,641.0)",0,1,12.566,181.000,181,181,181,181
2,"(452.0,530.0)",0,2,6.283,182.500,182,182,182,183
6,"(48.0,475.0)",0,6,2.094,182.667,181,183,181,186
1701,"(818.0,624.0)",0,254,0.331,72.576,59,60,34,110
10,"(802.0,621.0)",0,0,Infinity,102.100,110,93,93,110
2805,"(194.0,246.0)",0,314,0.358,60.338,54,101,19,205
1,"(167.0,264.0)",0,1,12.566,184.000,184,184,184,184
16,"(395.0,786.0)",0,16,0.785,185.312,182,186,181,193
4,"(1211.0,505.0)",0,4,3.142,106.000,101,108,101,110
7,"(1112.0,888.0)",0,7,1.795,183.571,182,186,181,188
6,"(1456.0,449.0)",0,6,2.094,103.167,109,103,97,109
4,"(156.0,651.0)",0,4,3.142,184.250,185,183,181,186
1,"(204.0,277.0)",0,1,12.566,185.000,185,185,185,185
3,"(38.0,96.0)",0,3,4.189,185.667,182,186,182,189
227,"(2.0,462.0)",1,63,0.719,51.216,23,78,16,109
1,"(927.0,1080.0)",0,1,12.566,108.000,108,108,108,108
1,"(1024.0,24.0)",0,1,12.566,182.000,182,182,182,182
16,"(1005.0,41.0)",0,16,0.785,184.312,184,182,181,192
2,"(66.0,546.0)",0,2,6.283,182.500,182,182,182,183
2,"(257.0,1191.0)",0,2,6.283,181.500,181,181,181,182
2646,"(946.0,252.0)",0,251,0.528,60.482,66,65,18,110
19,"(36.0,463.0)",0,19,0.661,185.842,183,190,181,194
1,"(917.0,1080.0)",0,1,12.566,103.000,103,103,103,103
3,"(1033.0,112.0)",0,3,4.189,183.000,181,187,181,187
6,"(890.0,844.0)",0,6,2.094,190.500,193,188,181,195
8,"(1114.0,901.0)",0,8,1.571,184.125,185,184,181,186
2,"(1026.0,828.0)",0,2,6.283,109.000,109,109,109,109
31,"(74.0,395.0)",0,29,0.463,186.806,181,184,181,204
4,"(111.0,362.0)",0,4,3.142,185.750,181,189,181,190
2,"(443.0,491.0)",0,2,6.283,182.500,182,182,182,183
3,"(1116.0,875.0)",0,3,4.189,181.000,181,181,181,181
2,"(807.0,592.0)",0,2,6.283,182.000,181,182,181,183
13,"(795.0,598.0)",0,13,0.967,185.615,184,187,181,190
5,"(1473.0,839.0)",0,5,2.513,182.800,182,184,182,184
2,"(160.0,233.0)",0,2,6.283,181.500,181,181,181,182
12,"(933.0,1085.0)",0,12,1.047,87.417,77,87,65,110
2,"(1200.0,819.0)",0,2,6.283,182.500,182,182,182,183
14,"(84.0,365.0)",0,14,0.898,185.929,181,190,181,192
2,"(362.0,793.0)",0,2,6.283,109.500,109,109,109,110
8,"(1114.0,165.0)",0,8,1.571,182.750,183,182,181,184
1,"(1467.0,852.0)",0,1,12.566,181.000,181,181,181,181
11,"(387.0,838.0)",0,11,1.142,185.455,183,185,181,196
1,"(770.0,260.0)",0,1,12.566,181.000,181,181,181,181
2,"(1466.0,800.0)",0,2,6.283,188.500,188,188,188,189
3,"(181.0,640.0)",0,3,4.189,185.000,183,188,183,188
2,"(1156.0,927.0)",0,2,6.283,183.000,182,183,182,184
2,"(811.0,591.0)",0,2,6.283,181.000,181,181,181,181
3,"(1043.0,22.0)",0,3,4.189,183.000,181,185,181,185
6453,"(90.0,421.0)",0,589,0.234,65.253,56,46,18,208
38,"(64.0,515.0)",0,38,0.331,186.158,183,183,181,197
14,"(1160.0,867.0)",0,13,1.041,185.786,186,185,181,195
2,"(925.0,859.0)",0,2,6.283,182.000,181,182,181,183
6,"(829.0,623.0)",0,0,Infinity,107.000,108,106,104,110
1,"(1065.0,745.0)",0,1,12.566,181.000,181,181,181,181
11,"(99.0,497.0)",0,11,1.142,186.273,181,196,181,196
3,"(167.0,257.0)",0,3,4.189,182.000,181,182,181,183
44,"(1125.0,1141.0)",0,44,0.286,16.591,7,7,4,96
1,"(812.0,332.0)",0,1,12.566,182.000,182,182,182,182
2,"(780.0,628.0)",0,2,6.283,183.000,183,183,183,183
1,"(29.0,165.0)",0,1,12.566,181.000,181,181,181,181
14,"(1384.0,239.0)",0,14,0.898,188.286,187,192,182,199
1,"(17.0,105.0)",0,1,12.566,181.000,181,181,181,181
7,"(1088.0,1192.0)",0,7,1.795,97.857,97,100,81,110
5,"(1439.0,386.0)",0,5,2.513,182.800,184,183,181,184
18,"(193.0,210.0)",0,18,0.698,185.889,182,185,181,192
2,"(78.0,558.0)",0,2,6.283,185.500,185,185,185,186
7874,"(1408.0,310.0)",0,745,0.178,53.397,32,74,10,205
1,"(205.0,1106.0)",0,1,12.566,183.000,183,183,183,183
6,"(1069.0,56.0)",0,6,2.094,182.500,182,183,181,184
2,"(25.0,163.0)",0,2,6.283,186.000,186,186,186,186
8,"(741.0,277.0)",0,8,1.571,187.000,187,191,181,191
1,"(1002.0,46.0)",0,1,12.566,182.000,182,182,182,182
1,"(72.0,553.0)",0,1,12.566,185.000,185,185,185,185
2130,"(1223.0,801.0)",0,208,0.619,56.799,44,40,32,110
13,"(1000.0,56.0)",0,13,0.967,185.154,185,186,181,192
4,"(800.0,594.0)",0,4,3.142,183.250,181,185,181,186
